"","Binomial","Class","Order","Family","BodySize","TrophicLevel","LifeSpan"
"1","Ambystoma_macrodactylum","Amphibia","Caudata","Ambystomatidae","5.33","carnivore","10"
"2","Graptemys_geographica","Reptilia","Testudines","Emydidae","1138","carnivore","19.96666667"
"3","Pseudacris_triseriata","Amphibia","Anura","Hylidae","1","",""
"4","Necturus_maculosus","Amphibia","Caudata","Proteidae","220.1","carnivore","34"
"5","Storeria_dekayi","Reptilia","Squamata","Colubridae","45","carnivore","7"
"6","Nerodia_sipedon","Reptilia","Squamata","Colubridae","1306","carnivore","9.6"
"7","Sternotherus_odoratus","Reptilia","Testudines","Kinosternidae","137.9","omnivore","54.90833333"
"8","Chrysemys_picta","Reptilia","Testudines","Emydidae","371.8","omnivore","61"
"9","Dermochelys_coriacea","Reptilia","Testudines","Dermochelyidae","420000","carnivore","80"
"10","Lithobates_sylvaticus","Amphibia","Anura","Ranidae","17.6","carnivore","5.2"
"11","Anaxyrus_boreas","Amphibia","Anura","Bufonidae","","omnivore","11.5"
"12","Ascaphus_truei","Amphibia","Anura","Ascaphidae","","carnivore","20"
"13","Taricha_granulosa","Amphibia","Caudata","Salamandridae","12.32","carnivore","12"
"14","Plethodon_vehiculum","Amphibia","Caudata","Plethodontidae","46","","11.1"
"15","Ensatina_eschscholtzii","Amphibia","Caudata","Plethodontidae","61","","15"
"16","Eurycea_bislineata","Amphibia","Caudata","Plethodontidae","1.05","carnivore",""
"17","Desmognathus_fuscus","Amphibia","Caudata","Plethodontidae","1.5","carnivore","4.3"
"18","Gyrinophilus_porphyriticus","Amphibia","Caudata","Plethodontidae","10","","18.5"
"19","Desmognathus_ochrophaeus","Amphibia","Caudata","Plethodontidae","0.6","","20"
"20","Hyla_versicolor","Amphibia","Anura","Hylidae","7.2","carnivore","7.8"
"21","Lithobates_palustris","Amphibia","Anura","Ranidae","","",""
"22","Clemmys_guttata","Reptilia","Testudines","Emydidae","165.4","omnivore","30"
"23","Ambystoma_gracile","Amphibia","Caudata","Ambystomatidae","6.4","carnivore","10.2"
"24","Ambystoma_maculatum","Amphibia","Caudata","Ambystomatidae","24","","32"
"25","Thamnophis_sirtalis","Reptilia","Squamata","Colubridae","150","carnivore","20"
"26","Anaxyrus_americanus","Amphibia","Anura","Bufonidae","118.7","omnivore","36"
"27","Anaxyrus_hemiophrys","Amphibia","Anura","Bufonidae","","","13.3"
"28","Glyptemys_insculpta","Reptilia","Testudines","Emydidae","968.2","omnivore","60"
"29","Crotalus_viridis","Reptilia","Squamata","Viperidae","1647","carnivore","24.1"
"30","Anaxyrus_fowleri","Amphibia","Anura","Bufonidae","34.9","carnivore","5"
"31","Pseudacris_maculata","Amphibia","Anura","Hylidae","","carnivore","6"
"32","Ambystoma_mavortium","Amphibia","Caudata","Ambystomatidae","5","","32"
"33","Rana_pretiosa","Amphibia","Anura","Ranidae","","carnivore",""
"34","Pantherophis_obsoletus","Reptilia","Squamata","Colubridae","6561","carnivore","33.9"
"35","Lithobates_septentrionalis","Amphibia","Anura","Ranidae","25.9","carnivore","6"
"36","Ambystoma_jeffersonianum","Amphibia","Urodela","Ambystomatidae","17.2","","3"
"37","Chelydra_serpentina","Reptilia","Testudines","Chelydridae","5170","omnivore","47"
"38","Emydoidea_blandingii","Reptilia","Testudines","Emydidae","1162","omnivore","77"
"39","Lithobates_catesbeianus","Amphibia","Anura","Ranidae","467.8","omnivore","16"
"40","Lithobates_clamitans","Amphibia","Anura","Ranidae","47.9","","10"
"41","Lithobates_pipiens","Amphibia","Anura","Ranidae","39.2","","9"
"42","Notophthalmus_viridescens","Amphibia","Caudata","Salamandridae","3.9","carnivore","25"
"43","Plestiodon_fasciatus","Reptilia","Squamata","Scincidae","6.7","carnivore",""
"44","Plethodon_cinereus","Amphibia","Caudata","Plethodontidae","65","carnivore","25"
"45","Pseudacris_crucifer","Amphibia","Anura","Hylidae","4","","5"
"46","Rana_aurora","Amphibia","Anura","Ranidae","","","15"
"47","Sistrurus_catenatus","Reptilia","Squamata","Viperidae","384","carnivore","20"
